"","統計年月","縣市","行政區域","戶數","總人數","人口數","青少年人口","壯年人口","老年人口"
"346",10407,"臺北市","信義區敦厚里",2294,5457,5457,697,3986,774
"347",10407,"臺北市","信義區富台里",2000,4604,4604,704,3336,564
"348",10407,"臺北市","信義區廣居里",3143,8472,8472,1519,5891,1062
"349",10407,"臺北市","信義區國業里",3023,8223,8223,1599,5565,1059
"350",10407,"臺北市","信義區惠安里",2631,6877,6877,862,5137,878
"351",10407,"臺北市","信義區嘉興里",1321,3341,3341,363,2462,516
"352",10407,"臺北市","信義區景聯里",1916,4806,4806,541,3516,749
"353",10407,"臺北市","信義區景勤里",1732,4360,4360,569,3090,701
"354",10407,"臺北市","信義區景新里",2200,5441,5441,821,3822,798
"355",10407,"臺北市","信義區黎安里",979,2217,2217,203,1496,518
"356",10407,"臺北市","信義區黎平里",2972,7392,7392,943,5438,1011
"357",10407,"臺北市","信義區黎順里",1746,4295,4295,461,3198,636
"358",10407,"臺北市","信義區黎忠里",1984,5066,5066,628,3719,719
"359",10407,"臺北市","信義區六合里",2841,7160,7160,823,5299,1038
"360",10407,"臺北市","信義區六藝里",1395,4026,4026,685,2832,509
"361",10407,"臺北市","信義區三犁里",2139,5457,5457,686,3926,845
"362",10407,"臺北市","信義區三張里",3646,9388,9388,1202,6679,1507
"363",10407,"臺北市","信義區雙和里",2939,7575,7575,1062,5509,1004
"364",10407,"臺北市","信義區四維里",2182,5531,5531,558,4205,768
"365",10407,"臺北市","信義區四育里",2171,5867,5867,638,4391,838
"366",10407,"臺北市","信義區松光里",2080,5105,5105,552,3627,926
"367",10407,"臺北市","信義區松隆里",876,2368,2368,253,1770,345
"368",10407,"臺北市","信義區松友里",2562,7279,7279,1283,5082,914
"369",10407,"臺北市","信義區泰和里",3127,8403,8403,1165,6222,1016
"370",10407,"臺北市","信義區五常里",1486,3949,3949,518,2892,539
"371",10407,"臺北市","信義區五全里",2014,5226,5226,610,3836,780
"372",10407,"臺北市","信義區西村里",2966,6182,6182,724,4352,1106
"373",10407,"臺北市","信義區新仁里",1440,3709,3709,578,2568,563
"374",10407,"臺北市","信義區興隆里",1256,3037,3037,443,2036,558
"375",10407,"臺北市","信義區興雅里",2468,6078,6078,804,4220,1054
"376",10407,"臺北市","信義區雅祥里",2049,5182,5182,719,3814,649
"377",10407,"臺北市","信義區永春里",1984,5150,5150,634,3754,762
"378",10407,"臺北市","信義區永吉里",1440,4308,4308,567,3271,470
"379",10407,"臺北市","信義區長春里",1680,4357,4357,480,3223,654
"380",10407,"臺北市","信義區正和里",1911,4950,4950,801,3371,778
"381",10407,"臺北市","信義區中坡里",1697,4716,4716,590,3459,667
"382",10407,"臺北市","信義區中行里",2973,8456,8456,1125,6316,1015
"383",10407,"臺北市","信義區中興里",1705,3578,3578,523,2507,548
"384",10407,"臺北市","中山區北安里",1054,2889,2889,444,2081,364
"385",10407,"臺北市","中山區成功里",2977,7114,7114,1521,4937,656
"386",10407,"臺北市","中山區大佳里",424,1127,1127,158,813,156
"387",10407,"臺北市","中山區大直里",3698,10225,10225,1925,6961,1339
"388",10407,"臺北市","中山區復華里",2113,4827,4827,693,3430,704
"389",10407,"臺北市","中山區恆安里",2503,4912,4912,634,3683,595
"390",10407,"臺北市","中山區集英里",3223,7440,7440,1191,5306,943
"391",10407,"臺北市","中山區劍潭里",1442,3921,3921,549,2713,659
"392",10407,"臺北市","中山區江寧里",2804,7110,7110,927,5166,1017
"393",10407,"臺北市","中山區江山里",3089,7818,7818,1024,5555,1239
"394",10407,"臺北市","中山區金泰里",3357,7860,7860,1616,5572,672
"395",10407,"臺北市","中山區聚盛里",2372,4247,4247,430,3280,537
"396",10407,"臺北市","中山區聚葉里",1936,3990,3990,442,2928,620
"397",10407,"臺北市","中山區康樂里",1503,2721,2721,281,2074,366
"398",10407,"臺北市","中山區力行里",2646,6138,6138,735,4392,1011
"399",10407,"臺北市","中山區龍洲里",2115,5152,5152,539,3828,785
"400",10407,"臺北市","中山區民安里",2138,4807,4807,552,3408,847
"401",10407,"臺北市","中山區埤頭里",1572,3545,3545,406,2547,592
"402",10407,"臺北市","中山區晴光里",2826,5399,5399,583,4082,734
"403",10407,"臺北市","中山區松江里",2651,6940,6940,1054,4865,1021
"404",10407,"臺北市","中山區下埤里",2969,7811,7811,925,5888,998
"405",10407,"臺北市","中山區新福里",2155,5247,5247,656,3860,731
"406",10407,"臺北市","中山區新生里",2149,5158,5158,616,3782,760
"407",10407,"臺北市","中山區新喜里",2153,5571,5571,743,4179,649
"408",10407,"臺北市","中山區新庄里",2186,5216,5216,661,3886,669
"409",10407,"臺北市","中山區行仁里",3044,8499,8499,1114,6314,1071
"410",10407,"臺北市","中山區行孝里",1576,4228,4228,535,3238,455
"411",10407,"臺北市","中山區行政里",3903,7740,7740,663,5935,1142
"412",10407,"臺北市","中山區興亞里",2415,5423,5423,623,3970,830
"413",10407,"臺北市","中山區永安里",3849,10081,10081,1867,7112,1102
"414",10407,"臺北市","中山區圓山里",1948,4446,4446,585,3275,586
"415",10407,"臺北市","中山區正得里",1972,3780,3780,384,2824,572
"416",10407,"臺北市","中山區正守里",1401,3318,3318,387,2428,503
"417",10407,"臺北市","中山區正義里",2679,5393,5393,615,4106,672
"418",10407,"臺北市","中山區中吉里",2320,5865,5865,933,4076,856
"419",10407,"臺北市","中山區中山里",3523,6452,6452,636,5010,806
"420",10407,"臺北市","中山區中央里",1560,3879,3879,648,2670,561
"421",10407,"臺北市","中山區中原里",2190,5193,5193,688,3720,785
"422",10407,"臺北市","中山區中庄里",2288,5286,5286,597,3841,848
"423",10407,"臺北市","中山區朱馥里",2515,6237,6237,948,4441,848
"424",10407,"臺北市","中山區朱崙里",1340,2985,2985,403,2143,439
"425",10407,"臺北市","中山區朱園里",2182,4688,4688,554,3469,665
"426",10407,"臺北市","中正區愛國里",1376,3664,3664,813,2390,461
"427",10407,"臺北市","中正區板溪里",1519,3502,3502,419,2503,580
"428",10407,"臺北市","中正區頂東里",2806,6328,6328,740,4528,1060
"429",10407,"臺北市","中正區東門里",1780,4453,4453,841,3020,592
"430",10407,"臺北市","中正區富水里",1045,2677,2677,436,1890,351
"431",10407,"臺北市","中正區光復里",1840,4181,4181,810,2843,528
"432",10407,"臺北市","中正區河堤里",1998,4771,4771,495,3451,825
"433",10407,"臺北市","中正區建國里",676,1781,1781,509,1098,174
"434",10407,"臺北市","中正區黎明里",1666,3625,3625,744,2440,441
"435",10407,"臺北市","中正區林興里",2093,4959,4959,757,3462,740
"436",10407,"臺北市","中正區龍福里",3501,8156,8156,1765,5233,1158
