"縣市","行政區域","納稅單位","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"台北市","內湖區石潭里",1263,1774204,1405,797,441,1468,2338.37,166.46
"台北市","內湖區五分里",3335,3032281,909,656,390,1143,1017.75,111.94
"台北市","內湖區西安里",2465,2596819,1053,709,391,1297,1293.39,122.77
"台北市","內湖區西湖里",2631,2490094,946,655,383,1167,1310.51,138.47
"台北市","內湖區西康里",3374,4465879,1324,776,400,1523,3043.98,229.97
"台北市","內湖區行善里",2217,1961052,885,641,362,1145,848.79,95.96
"台北市","內湖區秀湖里",2341,3492868,1492,827,422,1722,2312.14,154.96
"台北市","內湖區週美里",2557,3369365,1318,733,395,1418,2281.37,173.13
"台北市","內湖區紫星里",2754,2841665,1032,682,375,1291,1215.71,117.82
"台北市","內湖區紫陽里",2896,3545178,1224,750,404,1469,2555.38,208.74
"台北市","內湖區紫雲里",1805,1806191,1001,695,362,1294,1156.68,115.59
"台北市","士林區百齡里",2368,1981249,837,612,365,1070,960.94,114.85
"台北市","士林區承德里",2052,2205650,1075,718,386,1287,1343.43,124.98
"台北市","士林區翠山里",1044,1287773,1233,711,376,1458,1770.18,143.51
"台北市","士林區德華里",1864,2068522,1110,662,368,1193,5085.47,458.27
"台北市","士林區德行里",1566,1683354,1075,670,358,1222,2462.46,229.08
"台北市","士林區東山里",1702,2563480,1506,752,387,1509,4754.47,315.67
"台北市","士林區福安里",1153,832340,722,524,320,862,775.55,107.43
"台北市","士林區福德里",1533,1707285,1114,717,385,1452,1195.97,107.39
"台北市","士林區福華里",1879,1514320,806,579,349,990,786.7,97.62
"台北市","士林區福佳里",2612,3038272,1163,680,371,1355,2026.42,174.21
"台北市","士林區福林里",1007,1401514,1392,691,356,1269,4878.07,350.49
"台北市","士林區福順里",1611,1324594,822,596,351,1003,944.56,114.88
"台北市","士林區福志里",2782,3514176,1263,732,409,1473,2435.75,192.83
"台北市","士林區福中里",2221,2088027,940,637,371,1145,1147.64,122.07
"台北市","士林區富光里",1659,1230946,742,567,346,919,673.47,90.77
"台北市","士林區富洲里",1459,1037423,711,539,330,886,633.06,89.03
"台北市","士林區公館里",380,536549,1412,658,359,1224,3331.82,235.97
"台北市","士林區後港里",2719,2647504,974,657,364,1201,1135.98,116.67
"台北市","士林區葫東里",1239,981349,792,568,348,1002,835.66,105.51
"台北市","士林區葫蘆里",2285,1858488,813,604,354,1035,856.9,105.36
"台北市","士林區菁山里",425,1072174,2523,629,395,1031,27455.45,1088.31
"台北市","士林區舊佳里",2138,2446477,1144,624,343,1214,4594.69,401.53
"台北市","士林區蘭興里",2331,3137289,1346,768,413,1512,2170.35,161.26
"台北市","士林區蘭雅里",3109,4241663,1364,737,405,1400,7283.67,533.87
"台北市","士林區臨溪里",1087,2278593,2096,817,428,1764,5230.03,249.5
"台北市","士林區名山里",2583,3165961,1226,744,391,1468,1805.66,147.32
"台北市","士林區明勝里",1669,1620472,971,642,379,1163,1478.44,152.27
"台北市","士林區平等里",356,338494,951,593,364,968,2285.36,240.35
"台北市","士林區前港里",1466,1520297,1037,672,383,1286,1326.9,127.95
"台北市","士林區仁勇里",1252,1292730,1033,612,344,1188,3178.15,307.8
"台北市","士林區三玉里",2170,3210813,1480,780,401,1459,3614.69,244.3
"台北市","士林區社新里",2531,1908029,754,564,357,953,644.47,85.49
"台北市","士林區社園里",2125,1635457,770,571,353,976,710.37,92.3
"台北市","士林區社子里",1937,1605014,829,588,344,993,1163.81,140.45
"台北市","士林區聖山里",1780,2256173,1268,778,407,1514,1784.31,140.77
"台北市","士林區天福里",2224,2773020,1247,743,375,1442,2914.77,233.77
"台北市","士林區天和里",2758,4555884,1652,791,402,1622,7299.06,441.86
"台北市","士林區天祿里",1874,2246849,1199,727,401,1372,1829.66,152.6
"台北市","士林區天母里",2446,4656886,1904,825,413,1737,5661.08,297.34
"台北市","士林區天山里",2471,3262582,1320,750,379,1583,1998.15,151.34
"台北市","士林區天壽里",1872,3840186,2051,906,429,1808,10267.19,500.5
"台北市","士林區天玉里",3114,4783263,1536,790,402,1658,3209.65,208.95
"台北市","士林區溪山里",346,439934,1271,571,367,993,7343.84,577.58
"台北市","士林區新安里",689,1535056,2228,656,352,1386,12775.23,573.41
"台北市","士林區岩山里",1197,1477877,1235,657,359,1315,3445.26,279.05
"台北市","士林區陽明里",989,1729062,1748,721,386,1459,5867.76,335.63
"台北市","士林區義信里",1031,1131196,1097,684,374,1276,1346.29,122.7
"台北市","士林區永福里",425,1860239,4377,766,402,1764,19486.89,445.21
"台北市","士林區永倫里",2257,1723502,764,562,351,954,746.04,97.7
"台北市","士林區芝山里",2708,5632066,2080,752,406,1554,18644.05,896.44
"台北市","士林區忠誠里",2042,3313517,1623,729,400,1457,7934.95,489
"台北市","松山區安平里",2845,2910194,1023,667,370,1213,2139.74,209.18
"台北市","松山區慈祐里",2304,2095352,909,638,366,1135,926.25,101.85
"台北市","松山區東昌里",965,2896760,3002,905,456,1753,41603.21,1385.93
"台北市","松山區東光里",2646,3362605,1271,768,388,1563,2016.69,158.69
"台北市","松山區東榮里",3024,5296658,1752,906,409,1879,4644.98,265.19
"台北市","松山區東勢里",1657,2895671,1748,766,377,1595,16914.43,967.9
"台北市","松山區敦化里",2558,3693973,1444,816,424,1599,3694.88,255.86
"台北市","松山區福成里",1009,2032638,2015,889,450,1836,11536.74,572.68
"台北市","松山區富錦里",1862,2518436,1353,719,372,1431,5325.04,393.71
"台北市","松山區富泰里",1683,2175717,1293,798,401,1534,2698.43,208.73
"台北市","松山區復建里",1578,1999807,1267,837,427,1643,1440.58,113.67
"台北市","松山區復盛里",2295,2504432,1091,702,378,1313,2144.51,196.52
"台北市","松山區復勢里",2299,2835023,1233,772,400,1502,1668.36,135.29
"台北市","松山區復源里",1135,1528461,1347,742,405,1450,4896.57,363.61
