"里","n","med","mean"
"南港區三重里",243,609609.917355372,613293.895180764
"南港區萬福里",45,557127.272727273,624032.249770432
"南港區西新里",54,393317.355371901,385976.981940618
"南港區新富里",26,584190.082644628,580910.108073744
"南港區新光里",42,533857.851239669,582063.282172373
"南港區玉成里",41,593080.991735537,546125.136061278
"南港區中南里",30,464833.05785124,588499.283746556
"南港區中研里",91,474013.223140496,469724.312051585
"南港區重陽里",81,543851.239669421,558801.387613509
"內湖區安湖里",82,428829.752066116,433145.132029833
"內湖區安泰里",82,357699.173553719,359383.47107438
"內湖區寶湖里",78,491292.561983471,504649.756304302
"內湖區碧山里",58,428796.694214876,431057.680250784
"內湖區大湖里",95,483953.719008264,468323.723357982
"內湖區東湖里",73,447385.123966942,454571.130986075
"內湖區港都里",49,598796.694214876,612474.41389779
"內湖區港富里",111,531580.165289256,592114.124041397
"內湖區港華里",62,534361.983471074,521717.67528659
"內湖區港墘里",97,493788.429752066,503127.306807532
"內湖區湖濱里",83,552806.611570248,578755.869760032
"內湖區湖興里",263,572575.20661157,586574.86723439
"內湖區湖元里",119,436499.173553719,457138.356830335
"內湖區葫洲里",120,556309.090909091,552914.517906336
"內湖區金湖里",172,618363.636363636,626347.972323659
"內湖區金龍里",77,508482.644628099,517557.23945476
"內湖區金瑞里",61,461120.661157025,452880.368513752
"內湖區康寧里",65,466697.520661157,447623.343928799
"內湖區樂康里",63,412548.760330579,431334.435261708
"內湖區麗山里",45,488575.20661157,467739.43067034
"內湖區蘆洲里",12,239135.537190083,266687.327823691
"內湖區明湖里",60,513993.388429752,540774.380165289
"內湖區南湖里",36,573033.05785124,556730.394857668
