"行政區域","縣市名稱","Ym","city","gen_sum"
"大安區芳和里","台北市",10501,"台北市",1353434
"大安區芳和里","台北市",10507,"台北市",2204679
"大安區芳和里","台北市",10511,"台北市",1371640
"大安區福住里","台北市",10509,"台北市",2504857
"大安區福住里","台北市",10511,"台北市",1787026
"大安區福住里","台北市",10501,"台北市",1294977
"大安區福住里","台北市",10503,"台北市",1475065
"大安區福住里","台北市",10507,"台北市",2141393
"大安區福住里","台北市",10505,"台北市",1507142
"大安區古風里","台北市",10507,"台北市",1532427
"大安區古風里","台北市",10503,"台北市",1013198
"大安區古風里","台北市",10501,"台北市",931718
"大安區古風里","台北市",10511,"台北市",1135111
"大安區古風里","台北市",10505,"台北市",1059589
"大安區古風里","台北市",10509,"台北市",1560002
"大安區古莊里","台北市",10501,"台北市",2388826
"大安區古莊里","台北市",10507,"台北市",3844533
"大安區古莊里","台北市",10511,"台北市",3204612
"大安區古莊里","台北市",10505,"台北市",2707188
"大安區古莊里","台北市",10503,"台北市",2458489
"大安區古莊里","台北市",10509,"台北市",4338659
"大安區光明里","台北市",10509,"台北市",1324108
"大安區光明里","台北市",10511,"台北市",885861
"大安區光明里","台北市",10503,"台北市",902557
"大安區光明里","台北市",10505,"台北市",1019277
"大安區光明里","台北市",10501,"台北市",801893
"大安區光明里","台北市",10507,"台北市",1476928
"大安區光武里","台北市",10501,"台北市",2370667
"大安區光武里","台北市",10511,"台北市",3008300
"大安區光武里","台北市",10505,"台北市",2759770
"大安區光武里","台北市",10509,"台北市",4487156
"大安區光武里","台北市",10507,"台北市",4037404
"大安區光武里","台北市",10503,"台北市",2460154
"大安區光信里","台北市",10509,"台北市",3327320
"大安區光信里","台北市",10505,"台北市",2555670
"大安區光信里","台北市",10507,"台北市",3549780
"大安區光信里","台北市",10503,"台北市",2065811
"大安區光信里","台北市",10501,"台北市",2141915
"大安區光信里","台北市",10511,"台北市",2380751
"大安區和安里","台北市",10505,"台北市",1953272
"大安區和安里","台北市",10503,"台北市",1764958
"大安區和安里","台北市",10509,"台北市",2541449
"大安區和安里","台北市",10511,"台北市",1703348
"大安區和安里","台北市",10507,"台北市",2871841
"大安區和安里","台北市",10501,"台北市",1566488
"大安區虎嘯里","台北市",10507,"台北市",1911189
"大安區虎嘯里","台北市",10505,"台北市",1432293
"大安區虎嘯里","台北市",10509,"台北市",1738254
"大安區虎嘯里","台北市",10511,"台北市",1207703
"大安區虎嘯里","台北市",10503,"台北市",1064562
"大安區虎嘯里","台北市",10501,"台北市",1183291
"大安區華聲里","台北市",10505,"台北市",1605002
"大安區華聲里","台北市",10511,"台北市",1298839
"大安區華聲里","台北市",10503,"台北市",1190882
"大安區華聲里","台北市",10509,"台北市",1895509
"大安區華聲里","台北市",10501,"台北市",1302983
"大安區華聲里","台北市",10507,"台北市",2275803
"大安區建安里","台北市",10509,"台北市",3476223
"大安區建安里","台北市",10505,"台北市",2125168
"大安區建安里","台北市",10507,"台北市",3116045
"大安區建安里","台北市",10501,"台北市",1805686
"大安區建安里","台北市",10503,"台北市",1874460
"大安區建安里","台北市",10511,"台北市",2343731
"大安區建倫里","台北市",10511,"台北市",2814304
"大安區建倫里","台北市",10509,"台北市",4044749
"大安區建倫里","台北市",10501,"台北市",2189794
"大安區建倫里","台北市",10505,"台北市",2520581
"大安區建倫里","台北市",10507,"台北市",3670364
"大安區建倫里","台北市",10503,"台北市",2275908
"大安區錦安里","台北市",10503,"台北市",1364856
"大安區錦安里","台北市",10505,"台北市",1360966
"大安區錦安里","台北市",10501,"台北市",1174487
"大安區錦安里","台北市",10509,"台北市",2200284
"大安區錦安里","台北市",10511,"台北市",1548697
"大安區錦安里","台北市",10507,"台北市",1989473
"大安區錦華里","台北市",10511,"台北市",1367538
"大安區錦華里","台北市",10509,"台北市",1906181
"大安區錦華里","台北市",10507,"台北市",1546411
"大安區錦華里","台北市",10501,"台北市",1003179
"大安區錦華里","台北市",10505,"台北市",1157964
"大安區錦華里","台北市",10503,"台北市",1107207
"大安區錦泰里","台北市",10505,"台北市",644260
"大安區錦泰里","台北市",10509,"台北市",1126553
"大安區錦泰里","台北市",10511,"台北市",788819
"大安區錦泰里","台北市",10507,"台北市",919993
"大安區錦泰里","台北市",10501,"台北市",567797
"大安區錦泰里","台北市",10503,"台北市",668103
"大安區黎和里","台北市",10503,"台北市",1094245
"大安區黎和里","台北市",10507,"台北市",1879990
"大安區黎和里","台北市",10505,"台北市",1341102
"大安區黎和里","台北市",10501,"台北市",1203449
"大安區黎和里","台北市",10511,"台北市",1168727
"大安區黎和里","台北市",10509,"台北市",1665041
"大安區黎孝里","台北市",10503,"台北市",1621483
"大安區黎孝里","台北市",10511,"台北市",1819669
"大安區黎孝里","台北市",10505,"台北市",2129234
"大安區黎孝里","台北市",10509,"台北市",2676282
"大安區黎孝里","台北市",10507,"台北市",3003049
"大安區黎孝里","台北市",10501,"台北市",1781338
"大安區黎元里","台北市",10505,"台北市",1471776
"大安區黎元里","台北市",10501,"台北市",1267231
"大安區黎元里","台北市",10509,"台北市",1960506
"大安區黎元里","台北市",10507,"台北市",2043515
"大安區黎元里","台北市",10511,"台北市",1362546
"大安區黎元里","台北市",10503,"台北市",1174560
"大安區臨江里","台北市",10501,"台北市",1054130
"大安區臨江里","台北市",10511,"台北市",1494765
"大安區臨江里","台北市",10503,"台北市",1128140
"大安區臨江里","台北市",10507,"台北市",1778017
"大安區臨江里","台北市",10509,"台北市",2054395
"大安區臨江里","台北市",10505,"台北市",1198124
"大安區龍安里","台北市",10509,"台北市",2501299
"大安區龍安里","台北市",10511,"台北市",1685108
"大安區龍安里","台北市",10501,"台北市",1569716
"大安區龍安里","台北市",10505,"台北市",1888932
"大安區龍安里","台北市",10507,"台北市",2816322
"大安區龍安里","台北市",10503,"台北市",1783009
"大安區龍門里","台北市",10501,"台北市",1423069
"大安區龍門里","台北市",10503,"台北市",1532758
"大安區龍門里","台北市",10509,"台北市",2513409
"大安區龍門里","台北市",10511,"台北市",1835750
"大安區龍門里","台北市",10505,"台北市",1603754
"大安區龍門里","台北市",10507,"台北市",2211167
"大安區龍坡里","台北市",10507,"台北市",2302915
"大安區龍坡里","台北市",10509,"台北市",1992817
"大安區龍坡里","台北市",10501,"台北市",1226038
"大安區龍坡里","台北市",10503,"台北市",1430665
"大安區龍坡里","台北市",10511,"台北市",1372471
"大安區龍坡里","台北市",10505,"台北市",1478116
"大安區龍泉里","台北市",10511,"台北市",1315179
"大安區龍泉里","台北市",10503,"台北市",1061980
"大安區龍泉里","台北市",10505,"台北市",1138433
"大安區龍泉里","台北市",10501,"台北市",992348
"大安區龍泉里","台北市",10509,"台北市",1764105
"大安區龍泉里","台北市",10507,"台北市",1595269
"大安區龍生里","台北市",10509,"台北市",2490326
"大安區龍生里","台北市",10511,"台北市",1778138
"大安區龍生里","台北市",10501,"台北市",1338603
